target_id,target_result
0,1
1,0
3,0
4,0
16,1
22,0
26,0
27,1
29,0
31,0
33,0
34,1
36,0
41,1
42,1
43,0
45,0
46,1
48,0
49,1
50,0
52,1
53,0
54,0
55,1
56,0
58,0
59,1
60,1
62,0
63,0
64,0
65,1
66,0
67,1
68,1
70,0
71,0
72,1
74,1
75,0
78,0
79,0
80,0
83,0
84,1
86,1
87,0
89,1
91,1
95,0
98,1
99,0
102,1
103,0
104,0
109,0
110,1
111,0
112,1
114,1
116,0
117,0
119,1
120,0
121,0
122,0
123,1
138,0
151,0
161,1
165,1
166,0
167,0
168,1
169,1
175,0
176,0
177,1
178,1
179,1
181,1
184,1
185,0
189,1
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,0
201,0
202,0
203,0
204,0
206,1
207,1
208,0
209,0
210,1
212,0
213,1
214,1
217,0
218,0
219,1
220,1
225,1
228,0
231,0
232,0
234,1
235,1
237,0
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,0
253,0
254,0
259,0
260,0
262,0
263,1
264,1
265,0
267,0
273,0
276,0
277,0
281,1
284,0
285,1
288,1
291,1
292,0
299,1
300,0
303,0
304,1
305,0
307,1
308,0
309,1
311,0
313,0
314,0
316,0
317,0
322,1
326,0
327,1
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,0
338,1
343,1
344,1
345,0
348,0
349,0
350,0
353,0
355,0
358,1
359,0
361,0
363,1
364,1
367,0
369,0
370,0
376,0
377,0
379,0
380,1
382,1
383,1
385,1
394,1
397,1
399,0
400,0
404,1
406,0
407,0
409,0
410,0
412,0
419,1
422,1
423,0
427,1
429,0
430,1
445,0
450,1
454,0
455,1
456,0
457,0
459,1
464,0
465,0
466,0
468,0
469,0
470,0
471,0
472,1
473,0
475,1
477,0
480,0
481,0
483,0
484,1
485,1
486,1
490,0
493,0
494,0
495,0
496,1
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,1
511,0
512,0
513,1
514,0
515,0
516,1
518,0
519,1
520,0
521,1
523,1
526,0
529,1
531,0
532,0
538,1
540,0
542,0
543,1
544,1
549,1
550,0
551,0
556,0
557,1
558,1
559,1
560,0
561,0
562,0
565,0
566,1
569,0
578,1
581,0
582,0
583,1
585,0
591,1
597,1
599,0
602,0
603,0
605,1
608,0
616,0
619,1
623,1
624,0
625,0
627,0
628,1
631,0
632,0
635,0
637,0
640,0
641,0
644,1
646,0
648,0
649,1
650,1
651,0
652,1
653,0
654,0
655,0
658,0
659,1
660,1
661,1
662,0
663,0
664,0
665,0
666,1
668,1
669,1
670,1
671,0
674,0
677,0
678,1
680,1
682,1
683,0
684,0
686,0
687,1
688,1
690,1
691,0
692,1
693,0
694,0
695,0
702,0
703,0
706,0
707,0
708,0
709,1
713,0
714,0
715,0
718,1
724,0
727,0
730,0
734,1
737,1
738,1
744,1
746,0
751,0
753,0
756,0
757,0
758,0
760,0
763,0
765,1
766,1
767,1
768,0
769,1
770,0
771,1
773,0
776,0
777,0
778,1
780,1
781,0
782,0
785,0
786,1
787,0
788,0
789,1
791,1
792,0
795,0
796,1
799,1
805,1
808,1
814,1
815,0
816,1
819,1
820,1
821,1
824,0
825,1
836,0
839,1
840,1
841,0
842,0
844,0
845,0
848,1
852,1
853,0
854,1
855,1
856,1
858,0
860,0
862,0
865,1
867,1
880,1
884,0
885,1
887,0
889,0
892,0
895,1
896,1
898,0
899,1
902,0
903,0
905,0
908,0
909,1
912,1
913,0
914,0
915,1
916,1
917,0
918,1
920,1
923,0
924,1
925,1
926,0
929,0
934,1
936,1
938,0
940,1
943,0
947,0
948,0
949,1
950,1
951,0
955,1
956,0
957,0
959,1
962,1
964,0
965,0
967,0
968,1
972,0
973,1
976,0
977,0
978,0
979,0
980,1
982,0
984,1
985,1
986,0
989,1
992,1
995,1
996,0
999,0
1000,0
1001,0
1004,0
1009,1
1027,0
1034,0
1036,0
1039,1
1040,0
1043,0
1044,0
1045,0
1047,0
1049,0
1051,1
1053,0
1055,1
1056,1
1058,0
1059,1
1060,0
1061,1
1062,1
1063,1
1066,0
1068,0
1071,0
1072,0
1074,0
1077,0
1078,0
1079,1
1080,1
1081,1
1082,1
1089,0
1094,1
1100,0
1101,0
1102,1
1105,1
1107,1
1108,1
1109,1
1110,1
1112,0
1113,1
1115,0
1116,1
1122,0
1123,0
1124,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,1
1133,1
1135,0
1136,0
1137,1
1138,1
1139,0
1142,1
1144,1
1148,0
1150,1
1151,1
1154,1
1157,1
1163,0
1164,1
1166,0
1168,0
1171,0
1174,0
1182,1
1186,1
1190,0
1191,1
1192,1
1193,1
1195,1
1196,0
1197,1
1199,1
1202,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,1
1211,1
1212,1
1214,1
1215,0
1219,1
1221,0
1223,0
1224,0
1226,0
1227,1
1228,1
1229,0
1231,0
1232,1
1233,1
1235,0
1236,0
1237,0
1238,0
1239,0
1244,1
1245,0
1246,1
1247,0
1248,1
1249,1
1251,0
1252,1
1253,0
1254,1
1255,1
1257,1
1259,1
1261,0
1264,0
1266,0
1267,0
1268,1
1270,0
1273,0
1276,0
1279,0
1280,0
1281,1
1282,0
1287,1
1288,0
1289,1
1293,1
1295,0
1296,0
1298,0
1310,0
1313,0
1315,0
1316,1
1317,0
1321,1
1323,0
1324,0
1325,0
1326,0
1329,0
1330,1
1331,0
1333,1
1335,1
1336,0
1337,0
1338,1
1339,1
1340,0
1341,0
1342,1
1343,1
1347,1
1349,1
1350,0
1351,0
1353,0
1354,1
1361,0
1363,0
1364,0
1365,0
1366,1
1367,1
1370,0
1371,0
1372,0
1373,1
1375,1
1376,1
1377,0
1380,1
1382,1
1383,1
1384,1
1392,0
1393,1
1394,1
1395,1
1398,1
1399,0
1400,1
1401,0
1402,0
1404,0
1405,1
1406,1
1407,0
1409,0
1411,1
1413,0
1414,0
1420,0
1422,0
1425,0
1427,0
1430,1
1431,1
1432,0
1433,1
1436,0
1437,0
1440,0
1441,0
1444,1
1446,1
1448,1
1455,0
1465,1
1471,0
1472,0
1473,0
1475,0
1476,1
1477,0
1481,0
1483,1
1484,1
1485,0
1488,0
1489,0
1490,0
1493,1
1494,1
1497,1
1498,0
1499,0
1501,1
1502,0
1504,1
1505,0
1507,0
1508,0
1510,0
1512,0
1515,0
1516,0
1517,0
1520,1
1522,0
1523,1
1530,1
1539,0
1541,1
1542,1
1543,0
1544,1
1548,0
1549,0
1550,1
1551,0
1555,0
1556,1
1560,1
1561,0
1563,1
1570,0
1571,1
1572,0
1574,1
1575,0
1576,0
1578,1
1581,1
1584,1
1599,0
1601,0
1605,0
1606,1
1607,1
1609,1
1610,0
1612,0
1616,0
1617,0
1618,1
1619,0
1624,1
1625,1
1627,0
1628,1
1629,0
1630,0
1632,0
1633,1
1635,0
1636,1
1640,0
1641,1
1642,1
1643,1
1644,1
1648,0
1649,0
1655,1
1656,0
1657,0
1660,1
1661,1
1662,0
1663,0
1664,0
1666,1
1667,0
1668,1
1671,1
1675,1
1676,0
1677,0
1678,1
1680,1
1682,0
1683,0
1685,0
1688,1
1689,1
1692,0
1694,1
1700,1
1702,1
1703,0
1705,0
1708,0
1711,1
1713,1
1714,0
1716,0
1718,0
1721,1
1722,0
1724,0
1734,0
1735,0
1745,0
1746,0
1747,0
1748,1
1749,1
1751,0
1752,1
1753,1
1756,0
1759,0
1762,1
1763,0
1764,0
1765,1
1767,0
1769,0
1770,0
1771,0
1772,0
1774,0
1775,0
1777,0
1778,0
1780,0
1781,0
1782,0
1784,0
1785,1
1786,0
1787,0
1788,0
1789,0
1790,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,1
1805,0
1806,0
1808,0
1809,1
1811,1
1812,1
1814,1
1815,1
1816,1
1819,1
1820,1
1821,0
1824,1
1825,1
1826,1
1828,0
1833,0
1835,0
1836,0
1838,1
1840,0
1841,0
1842,1
1844,0
1845,0
1847,1
1849,1
1851,0
1854,0
1863,0
1864,0
1865,0
1866,0
1876,1
1877,0
1878,1
1881,1
1883,1
1885,0
1888,0
1889,0
1890,0
1892,1
1894,0
1897,0
1898,0
1899,1
1900,0
1903,1
1904,1
1905,1
1906,0
1907,0
1908,1
1909,0
1910,1
1911,0
1912,0
1913,1
1915,0
1918,0
1919,1
1920,0
1921,1
1923,0
1924,0
1927,1
1929,1
1930,1
1931,0
1935,1
1936,1
1937,1
1938,0
1939,0
1940,0
1941,1
1952,0
1953,1
1956,0
1959,1
1962,1
1963,1
1964,1
1966,0
1967,1
1968,1
1969,1
1970,0
1972,0
1973,0
1974,0
1976,0
1977,0
1979,1
1983,1
1984,0
1987,0
1988,1
1990,1
1991,1
1993,0
1994,1
2005,0
2007,0
2023,1
2026,0
2029,0
2031,1
2032,0
2033,0
2034,1
2035,1
2036,0
2037,0
2039,1
2040,0
2041,0
2042,1
2043,0
2044,0
2045,0
2046,0
2049,1
2050,0
2051,0
2052,0
2054,0
2055,1
2056,0
2057,1
2060,1
2061,0
2064,1
2066,0
2067,1
2068,0
2070,0
2071,0
2072,0
2074,1
2076,1
2078,1
2080,0
2081,1
2082,1
2083,0
2084,0
2086,1
2090,0
2091,1
2094,0
2095,1
2096,0
2097,1
2098,0
2099,0
2106,1
2107,1
2111,0
2118,1
2126,1
2128,0
2129,1
2131,0
2132,1
2133,1
2135,0
2136,0
2138,0
2139,0
2144,0
2148,0
2151,0
2161,0
2162,1
2163,1
2165,1
2166,1
2168,0
2174,1
2176,1
2177,0
2179,0
2180,0
2181,1
2182,0
2183,1
2184,0
2186,1
2187,0
2188,1
2190,0
2192,1
2193,0
2196,1
2198,0
2200,1
2201,0
2202,1
2203,0
2204,0
2205,0
2208,0
2209,0
2211,0
2212,1
2214,1
2215,1
2216,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2231,1
2232,1
2234,0
2238,0
2240,0
2241,1
2242,1
2243,1
2246,0
2249,1
2250,1
2251,0
2252,0
2256,1
2257,1
2258,1
2259,0
2266,0
2267,1
2268,0
2270,0
2271,0
2273,1
2276,1
2278,1
2279,1
2285,0
2295,1
2299,1
2304,1
2305,1
2306,0
2307,0
2309,0
2310,0
2313,0
2316,1
2318,0
2319,0
